disburse_year,loan_amount
2005.0,4800.0
2006.0,36450.0
2007.0,597950.0
2008.0,1778975.0
2009.0,2837025.0
2010.0,3288725.0
2011.0,4371325.0
2012.0,14588375.0
2013.0,14331125.0
2014.0,19625250.0
2015.0,22621925.0
2016.0,24389025.0
2017.0,19453225.0
2018.0,27301900.0
2019.0,23727650.0
2020.0,8366875.0
2021.0,947000.0
