loan_amount
92350.0
976175.0
13924575.0
38343525.0
57707150.0
69006550.0
90854975.0
115368350.0
125936025.0
146406275.0
150762550.0
158624000.0
174228725.0
178206550.0
165633750.0
133014250.0
19510950.0
