loan_amount
1705850.0
15135550.0
35796025.0
56302125.0
68409625.0
89812625.0
114415175.0
126947900.0
146187250.0
149906925.0
158255850.0
173575700.0
176949450.0
167208950.0
134950050.0
23037675.0
